,F,V_inn,V_ut,phase,dB
0,1000.0,5.1,0.52,-81.82,-19.83133664926274
1,1100.0,5.1,0.58,-82.16,-18.882843650699982
2,1200.0000000000002,5.1,0.63,-81.4,-18.164592532887095
3,1300.0000000000002,5.1,0.67,-79.51,-17.6299074679422
4,1400.0000000000005,5.1,0.72,-79.8,-17.00475359333336
5,1500.0000000000005,5.1,0.78,-79.89,-16.30951146814912
6,1600.0000000000005,5.1,0.84,-78.75,-15.665817800721094
7,1700.0000000000007,5.1,0.88,-78.57,-15.261750078955354
8,1800.0000000000007,5.1,0.92,-78.39,-14.875646975047621
9,1900.000000000001,5.1,0.96,-77.25,-14.505978861167359
10,2000.000000000001,5.1,1.03,-77.05,-13.894659027855283
11,2100.000000000001,5.1,1.09,-74.12,-13.402873563146255
12,2200.000000000001,5.1,1.13,-75.33,-13.089834652290333
13,2300.0000000000014,5.1,1.17,-75.3,-12.787686287035495
14,2400.0000000000014,5.1,1.21,-74.15,-12.495696115629723
15,2500.0000000000014,5.1,1.25,-73.91,-12.213203261797599
16,2600.0000000000014,5.1,1.29,-73.49,-11.939609315973748
17,2700.0000000000014,5.1,1.33,-72.74,-11.674370702617011
18,2800.000000000002,5.1,1.39,-72.21,-11.291107516876826
19,2900.000000000002,5.1,1.43,-70.84,-11.04468277265749
20,3000.000000000002,5.1,1.47,-71.52,-10.805056826995205
21,3100.000000000002,5.1,1.51,-69.2,-10.571864576095338
22,3200.000000000002,5.1,1.55,-68.68,-10.344769558552898
23,3300.000000000002,5.1,1.59,-69.25,-10.123461035549697
24,3400.0000000000023,5.1,1.65,-69.05,-9.801724637680602
25,3500.0000000000023,5.1,1.67,-67.52,-9.697074099007061
26,3600.0000000000023,5.1,1.73,-67.04,-9.39048145938282
27,3700.0000000000023,5.1,1.75,-66.5,-9.290642548232839
28,3800.0000000000023,5.1,1.81,-66.0,-8.997832024575036
29,3900.0000000000027,5.1,1.83,-66.47,-8.902381727350136
30,4000.0000000000027,5.1,1.87,-65.09,-8.714571391228747
31,4100.000000000004,5.1,1.97,-64.13,-8.262078998726869
32,4200.000000000003,5.1,1.97,-63.97,-8.262078998726869
33,4300.000000000003,5.1,2.05,-63.62,-7.916326300843641
34,4400.000000000003,5.1,2.05,-63.34,-7.916326300843641
35,4500.000000000004,5.1,2.13,-62.74,-7.583811453183973
36,4600.000000000004,5.1,2.13,-62.14,-7.583811453183973
37,4700.000000000003,5.1,2.17,-61.76,-7.422208844988136
38,4800.000000000004,5.1,2.21,-61.3,-7.263558048256513
39,4900.000000000004,5.1,2.21,-61.01,-7.263558048256513
40,5000.000000000004,5.1,2.29,-60.7,-6.954693875160967
41,5100.000000000004,5.1,2.29,-59.95,-6.954693875160967
42,5200.000000000004,5.1,2.37,-59.28,-6.656436601756649
43,5300.000000000005,5.1,2.37,-59.33,-6.656436601756649
44,5400.000000000004,5.1,2.41,-58.47,-6.511062670461358
45,5500.000000000004,5.1,2.45,-58.12,-6.368081834668077
46,5600.000000000004,5.1,2.45,-57.99,-6.368081834668077
47,5700.000000000005,5.1,2.49,-58.27,-6.2274165800439985
48,5800.000000000005,5.1,2.53,-55.71,-6.088993098442369
49,5900.000000000004,5.1,2.57,-56.52,-5.952741055332837
50,6000.000000000005,5.1,2.57,-57.55,-5.952741055332837
51,6100.000000000005,5.1,2.65,-56.44,-5.686486043222569
52,6200.000000000005,5.1,2.65,-55.48,-5.686486043222569
53,6300.000000000005,5.1,2.69,-54.1,-5.556357921910568
