,F,V_inn,V_ut,phase,dB
0,100.0,5.1,5.1,1.97,0.0
1,110.00000000000001,5.1,5.1,1.82,0.0
2,120.00000000000001,5.1,5.1,2.47,0.0
3,130.00000000000003,5.1,5.1,2.1,0.0
4,140.00000000000003,5.1,5.1,2.66,0.0
5,150.00000000000006,5.1,5.1,2.53,0.0
6,160.00000000000006,5.1,5.1,2.42,0.0
7,170.00000000000006,5.1,5.1,2.03,0.0
8,180.00000000000006,5.1,5.1,2.65,0.0
9,190.00000000000009,5.1,5.1,2.6,0.0
10,200.00000000000009,5.1,5.1,3.08,0.0
11,210.00000000000009,5.1,5.1,2.66,0.0
12,220.0000000000001,5.1,5.1,1.17,0.0
13,230.0000000000001,5.1,5.1,2.7,0.0
14,240.0000000000001,5.1,5.1,3.23,0.0
15,250.00000000000014,5.1,5.1,2.83,0.0
16,260.0000000000001,5.1,5.1,3.2,0.0
17,270.00000000000017,5.1,5.1,2.87,0.0
18,280.00000000000017,5.1,5.1,2.9,0.0
19,290.00000000000017,5.1,5.1,3.41,0.0
20,300.00000000000017,5.1,5.1,3.33,0.0
21,310.00000000000017,5.1,5.1,3.66,0.0
22,320.00000000000017,5.1,5.1,3.53,0.0
23,330.0000000000002,5.1,5.1,4.11,0.0
24,340.0000000000002,5.1,5.1,3.82,0.0
25,350.0000000000002,5.1,5.1,3.93,0.0
26,360.0000000000002,5.1,5.1,4.13,0.0
27,370.0000000000002,5.1,5.1,4.23,0.0
28,380.0000000000002,5.1,5.1,3.89,0.0
29,390.0000000000003,5.1,5.1,4.04,0.0
30,400.0000000000003,5.1,5.1,4.18,0.0
31,410.00000000000034,5.1,5.1,4.16,0.0
32,420.0000000000003,5.1,5.1,4.01,0.0
33,430.0000000000002,5.1,5.1,4.17,0.0
34,440.0000000000003,5.1,5.1,3.96,0.0
35,450.00000000000034,5.1,5.1,4.77,0.0
36,460.00000000000034,5.1,5.1,4.39,0.0
37,470.0000000000003,5.1,5.1,4.49,0.0
38,480.00000000000034,5.1,5.1,4.23,0.0
39,490.0000000000004,5.1,5.1,4.75,0.0
40,500.00000000000034,5.1,5.1,4.64,0.0
41,510.00000000000034,5.1,5.1,4.87,0.0
42,520.0000000000003,5.1,5.1,4.85,0.0
43,530.0000000000005,5.1,5.0,4.44,-0.17200343523835063
44,540.0000000000003,5.1,5.1,5.02,0.0
