,F,V_inn,V_ut,phase,dB
0,1000.0,4.9,4.8,3.69,-0.17909685305853004
1,1100.0,4.9,4.8,3.89,-0.17909685305853004
2,1200.0000000000002,4.9,4.9,4.47,0.0
3,1300.0000000000002,4.9,4.9,5.15,0.0
4,1400.0000000000005,4.9,4.9,5.89,0.0
5,1500.0000000000005,4.9,4.9,5.37,0.0
6,1600.0000000000005,4.9,4.9,5.74,0.0
7,1700.0000000000007,4.9,4.9,6.1,0.0
8,1800.0000000000007,4.9,4.9,6.3,0.0
9,1900.000000000001,4.9,4.9,6.49,0.0
10,2000.000000000001,4.9,4.8,6.15,-0.17909685305853004
11,2100.000000000001,4.9,4.9,4.77,0.0
12,2200.000000000001,4.9,4.9,6.29,0.0
13,2300.0000000000014,4.9,4.8,6.79,-0.17909685305853004
14,2400.0000000000014,4.9,4.8,5.08,-0.17909685305853004
15,2500.0000000000014,4.9,4.8,7.49,-0.17909685305853004
16,2600.0000000000014,4.9,4.9,5.35,0.0
17,2700.0000000000014,4.9,4.9,4.82,0.0
18,2800.000000000002,4.9,4.8,5.7,-0.17909685305853004
19,2900.000000000002,4.9,4.8,5.47,-0.17909685305853004
20,3000.000000000002,4.9,4.9,4.0,0.0
21,3100.000000000002,4.9,4.8,5.71,-0.17909685305853004
22,3200.000000000002,4.9,4.8,6.2,-0.17909685305853004
23,3300.000000000002,4.9,4.8,6.54,-0.17909685305853004
24,3400.0000000000023,4.9,4.8,7.11,-0.17909685305853004
25,3500.0000000000023,4.9,4.9,7.41,0.0
26,3600.0000000000023,4.9,4.9,9.1,0.0
27,3700.0000000000023,4.9,4.9,7.25,0.0
28,3800.0000000000023,4.9,4.8,7.24,-0.17909685305853004
29,3900.0000000000027,4.9,4.8,7.77,-0.17909685305853004
30,4000.0000000000027,4.9,4.8,7.62,-0.17909685305853004
31,4100.000000000004,4.9,4.8,7.68,-0.17909685305853004
32,4200.000000000003,4.9,4.8,8.21,-0.17909685305853004
33,4300.000000000003,4.9,4.8,8.31,-0.17909685305853004
34,4400.000000000003,4.9,4.8,8.14,-0.17909685305853004
35,4500.000000000004,4.9,4.8,8.61,-0.17909685305853004
36,4600.000000000004,4.9,4.8,8.9,-0.17909685305853004
37,4700.000000000003,4.9,4.8,8.8,-0.17909685305853004
38,4800.000000000004,4.9,4.8,9.43,-0.17909685305853004
39,4900.000000000004,4.9,4.8,11.33,-0.17909685305853004
40,5000.000000000004,4.9,4.8,9.7,-0.17909685305853004
41,5100.000000000004,4.9,4.8,10.07,-0.17909685305853004
42,5200.000000000004,4.9,4.7,9.75,-0.36196444185592436
43,5300.000000000005,4.9,4.7,11.83,-0.36196444185592436
44,5400.000000000004,4.9,4.7,12.09,-0.36196444185592436
45,5500.000000000004,4.9,4.8,11.41,-0.17909685305853004
46,5600.000000000004,4.9,4.8,10.48,-0.17909685305853004
47,5700.000000000005,4.9,4.8,12.59,-0.17909685305853004
48,5800.000000000005,4.9,4.8,10.61,-0.17909685305853004
49,5900.000000000004,4.9,4.8,13.11,-0.17909685305853004
50,6000.000000000005,4.9,4.7,13.41,-0.36196444185592436
51,6100.000000000005,4.9,4.8,13.82,-0.17909685305853004
52,6200.000000000005,4.9,4.7,13.78,-0.36196444185592436
53,6300.000000000005,4.9,4.7,12.04,-0.36196444185592436
54,6400.000000000005,4.9,4.7,14.45,-0.36196444185592436
55,6500.0000000000055,4.9,4.7,14.38,-0.36196444185592436
56,6600.000000000005,4.9,4.7,13.34,-0.36196444185592436
57,6700.000000000005,4.9,4.7,14.57,-0.36196444185592436
58,6800.0000000000055,4.9,4.7,14.73,-0.36196444185592436
59,6900.0000000000055,4.9,4.7,12.98,-0.36196444185592436
60,7000.0000000000055,4.9,4.7,15.75,-0.36196444185592436
61,7100.000000000005,4.9,4.7,15.31,-0.36196444185592436
62,7200.0000000000055,4.9,4.7,15.33,-0.36196444185592436
63,7300.000000000006,4.9,4.7,15.84,-0.36196444185592436
64,7400.0000000000055,4.9,4.7,15.82,-0.36196444185592436
65,7500.0000000000055,4.9,4.7,16.34,-0.36196444185592436
66,7600.0000000000055,4.9,4.7,16.22,-0.36196444185592436
67,7700.000000000006,4.9,4.7,16.34,-0.36196444185592436
68,7800.000000000006,4.9,4.7,16.69,-0.36196444185592436
69,7900.0000000000055,4.9,4.7,17.23,-0.36196444185592436
70,8000.000000000007,4.9,4.7,17.38,-0.36196444185592436
71,8100.000000000006,4.9,4.7,15.51,-0.36196444185592436
72,8200.000000000007,4.9,4.7,16.19,-0.36196444185592436
73,8300.000000000005,4.9,4.7,15.6,-0.36196444185592436
74,8400.000000000005,4.9,4.7,16.35,-0.36196444185592436
75,8500.000000000007,4.9,4.7,16.19,-0.36196444185592436
76,8600.000000000007,4.9,4.7,16.46,-0.36196444185592436
77,8700.000000000007,4.9,4.7,17.48,-0.36196444185592436
78,8800.000000000007,4.9,4.7,16.83,-0.36196444185592436
79,8900.000000000007,4.9,4.7,17.16,-0.36196444185592436
80,9000.000000000007,4.9,4.7,17.23,-0.36196444185592436
81,9100.000000000007,4.9,4.7,19.88,-0.36196444185592436
82,9200.000000000007,4.9,4.6,17.92,-0.5487649669387934
83,9300.000000000007,4.9,4.7,17.94,-0.36196444185592436
84,9400.000000000007,4.9,4.6,19.1,-0.5487649669387934
85,9500.000000000007,4.9,4.6,20.74,-0.5487649669387934
86,9600.00000000001,4.9,4.6,20.55,-0.5487649669387934
87,9700.000000000007,4.9,4.6,21.06,-0.5487649669387934
88,9800.000000000007,4.9,4.6,21.5,-0.5487649669387934
89,9900.000000000007,4.9,4.6,21.81,-0.5487649669387934
90,10000.0,4.9,4.6,22.21,-0.5487649669387934
91,11000.0,4.9,4.5,22.62,-0.7396713250634004
92,12000.000000000002,5.0,4.4,27.66,-1.1103465569966262
93,13000.000000000002,5.0,4.3,29.19,-1.3100309751286456
94,14000.000000000004,5.0,4.2,33.87,-1.514414278762366
95,15000.000000000004,5.0,3.9,34.34,-2.1581079461903916
96,16000.000000000005,5.0,3.62,39.49,-2.8052286760570624
97,17000.000000000007,5.0,3.34,46.87,-3.5044707504890877
98,18000.000000000007,5.1,2.97,51.04,-4.69627453561448
99,19000.000000000007,5.1,2.53,58.04,-6.088993098442369
100,20000.000000000007,5.1,2.05,64.36,-7.916326300843641
101,21000.00000000001,5.1,1.47,66.57,-10.805056826995205
102,22000.00000000001,5.1,0.9,68.08,-15.06655333317223
103,23000.00000000001,5.1,0.33,43.99,-23.781124724400975
104,24000.00000000001,5.1,0.44,-52.17,-21.282349992234977
105,25000.000000000015,5.1,0.96,-64.34,-14.505978861167359
106,26000.000000000015,5.1,1.45,-63.29,-10.924043477259229
107,27000.000000000015,5.1,1.93,-60.81,-8.440257341803253
108,28000.000000000015,5.1,2.29,-55.42,-6.954693875160967
109,29000.00000000002,5.1,2.61,-52.03,-5.8185933751931085
110,30000.00000000002,5.1,2.89,-49.9,-4.933446666827769
111,31000.00000000002,5.1,3.1,-47.17,-4.324169645273273
112,32000.00000000002,5.1,3.34,-44.64,-3.676474185727438
113,33000.00000000002,5.0,3.46,-43.25,-3.1978781108648446
114,34000.00000000002,5.0,3.58,-40.48,-2.901739553842889
115,35000.00000000002,5.0,3.74,-38.6,-2.521968042710773
116,36000.00000000002,5.0,3.9,-35.44,-2.1581079461903916
117,37000.00000000002,5.0,4.0,-36.35,-1.938200260161128
118,38000.00000000002,5.0,4.1,-30.52,-1.7237229523256667
119,39000.00000000003,5.0,4.2,-29.95,-1.514414278762366
120,40000.00000000003,4.9,4.3,-29.82,-1.134552488978544
121,41000.00000000003,4.9,4.3,-28.94,-1.134552488978544
122,42000.00000000003,4.9,4.3,-25.64,-1.134552488978544
123,43000.00000000002,4.9,4.3,-25.88,-1.134552488978544
124,44000.00000000003,4.9,4.4,-23.08,-0.9348680708465246
125,45000.00000000004,4.9,4.4,-22.49,-0.9348680708465246
126,46000.00000000003,4.9,4.4,-22.89,-0.9348680708465246
127,47000.00000000003,4.9,4.4,-21.55,-0.9348680708465246
128,48000.00000000004,4.9,4.4,-22.94,-0.9348680708465246
129,49000.00000000004,4.9,4.6,-19.41,-0.5487649669387934
130,50000.00000000004,4.9,4.6,-20.95,-0.5487649669387934
131,51000.00000000003,4.9,4.6,-18.55,-0.5487649669387934
132,52000.00000000004,5.0,4.6,-18.17,-0.7242434530888953
133,53000.000000000044,4.9,4.6,-17.8,-0.5487649669387934
134,54000.00000000004,4.9,4.6,-17.01,-0.5487649669387934
135,55000.00000000004,4.9,4.6,-16.58,-0.5487649669387934
136,56000.000000000044,4.9,4.6,-16.23,-0.5487649669387934
137,57000.000000000044,4.9,4.6,-15.21,-0.5487649669387934
138,58000.000000000044,4.9,4.6,-15.6,-0.5487649669387934
139,59000.00000000004,4.9,4.6,-14.01,-0.5487649669387934
140,60000.000000000044,4.9,4.6,-14.42,-0.5487649669387934
141,61000.00000000005,4.9,4.6,-13.85,-0.5487649669387934
142,62000.000000000044,4.9,4.6,-13.36,-0.5487649669387934
143,63000.000000000044,4.9,4.7,-13.7,-0.36196444185592436
144,64000.00000000005,4.9,4.7,-13.56,-0.36196444185592436
145,65000.00000000005,4.9,4.7,-13.01,-0.36196444185592436
146,66000.00000000004,4.9,4.7,-12.16,-0.36196444185592436
147,67000.00000000004,4.9,4.7,-11.84,-0.36196444185592436
148,68000.00000000006,4.9,4.7,-11.9,-0.36196444185592436
149,69000.00000000006,4.9,4.7,-11.58,-0.36196444185592436
150,70000.00000000006,4.9,4.7,-10.87,-0.36196444185592436
151,71000.00000000004,4.9,4.7,-10.65,-0.36196444185592436
152,72000.00000000006,4.9,4.7,-12.1,-0.36196444185592436
153,73000.00000000006,4.9,4.7,-11.22,-0.36196444185592436
154,74000.00000000006,4.9,4.7,-9.94,-0.36196444185592436
155,75000.00000000006,4.9,4.7,-9.52,-0.36196444185592436
156,76000.00000000006,4.9,4.7,-10.79,-0.36196444185592436
157,77000.00000000006,4.9,4.7,-9.9,-0.36196444185592436
158,78000.00000000006,4.9,4.7,-10.05,-0.36196444185592436
159,79000.00000000006,4.9,4.7,-9.44,-0.36196444185592436
160,80000.00000000007,4.9,4.7,-9.46,-0.36196444185592436
161,81000.00000000007,4.9,4.7,-8.26,-0.36196444185592436
162,82000.00000000006,4.9,4.7,-8.85,-0.36196444185592436
163,83000.00000000006,4.9,4.7,-8.95,-0.36196444185592436
164,84000.00000000006,4.9,4.7,-8.5,-0.36196444185592436
165,85000.00000000007,4.9,4.8,-9.61,-0.17909685305853004
166,86000.00000000007,4.9,4.7,-8.83,-0.36196444185592436
167,87000.00000000006,4.9,4.7,-9.73,-0.36196444185592436
168,88000.00000000007,4.9,4.8,-8.87,-0.17909685305853004
169,89000.00000000007,4.9,4.7,-10.0,-0.36196444185592436
170,90000.00000000007,4.9,4.7,-7.36,-0.36196444185592436
171,91000.00000000007,4.9,4.7,-7.55,-0.36196444185592436
172,92000.00000000006,4.9,4.7,-9.58,-0.36196444185592436
173,93000.00000000007,4.9,4.7,-7.24,-0.36196444185592436
174,94000.00000000007,4.9,4.7,-6.87,-0.36196444185592436
175,95000.00000000007,4.9,4.7,-7.53,-0.36196444185592436
176,96000.00000000009,4.9,4.7,-6.84,-0.36196444185592436
177,97000.00000000009,4.9,4.7,-7.41,-0.36196444185592436
178,98000.00000000007,4.9,4.7,-7.04,-0.36196444185592436
179,99000.00000000007,4.9,4.7,-5.99,-0.36196444185592436
180,100000.0,4.9,4.7,-6.84,-0.36196444185592436
