,F,V_inn,V_ut,phase,dB
0,1000.0,5.1,0.334,-86.29,-23.676474185727436
1,1100.0,5.1,0.362,-86.58,-22.977232111295415
2,1200.0000000000002,5.1,0.4,-86.08,-22.11020369539948
3,1300.0000000000002,5.1,0.43,-83.84,-21.482034410366996
4,1400.0000000000005,5.1,0.46,-83.63,-20.896246888327244
5,1500.0000000000005,5.1,0.49,-83.18,-20.347481921388454
6,1600.0000000000005,5.1,0.52,-82.98,-19.83133664926274
7,1700.0000000000007,5.1,0.55,-83.06,-19.34414973207385
8,1800.0000000000007,5.1,0.58,-82.97,-18.882843650699982
9,1900.000000000001,5.1,0.61,-82.31,-18.444806821743388
10,2000.000000000001,5.1,0.64,-83.59,-18.027804042280984
11,2100.000000000001,5.1,0.68,-83.47,-17.501225267834
12,2200.000000000001,5.1,0.71,-81.58,-17.12623654757722
13,2300.0000000000014,5.1,0.73,-80.98,-16.884946319549606
14,2400.0000000000014,5.1,0.78,-77.96,-16.30951146814912
15,2500.0000000000014,5.1,0.82,-79.98,-15.875126474284393
16,2600.0000000000014,5.1,0.84,-80.89,-15.665817800721094
17,2700.0000000000014,5.1,0.88,-80.31,-15.261750078955354
18,2800.000000000002,5.1,0.92,-79.87,-14.875646975047621
19,2900.000000000002,5.1,0.96,-79.29,-14.505978861167359
20,3000.000000000002,5.1,0.96,-78.36,-14.505978861167359
21,3100.000000000002,5.1,1.01,-78.56,-14.064976046305874
22,3200.000000000002,5.1,1.05,-76.74,-13.727617540559965
23,3300.000000000002,5.1,1.07,-78.68,-13.563727968254533
24,3400.0000000000023,5.1,1.11,-76.71,-13.244943946225579
25,3500.0000000000023,5.1,1.15,-76.94,-12.937446714886494
26,3600.0000000000023,5.1,1.17,-76.67,-12.787686287035495
27,3700.0000000000023,5.1,1.19,-74.99,-12.640464294108112
28,3800.0000000000023,5.1,1.23,-74.46,-12.35330129317077
29,3900.0000000000027,5.1,1.27,-74.29,-12.07532910283959
